advertisement_number,brand,series,version,year,km,price,advertisement_date,gear,fuel,engine_capacity,engine_power,from,city
#4441510,Mercedes,E Serisi,E 180 Exclusive,2018,44.000,745.000 TL,15/02/2021,745.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4781201,Mercedes,E Serisi,E 240 Elegance,2002,272.000,182.500 TL,15/02/2021,182.500 TL,Marka:,Otomatik Vites,Benzin/LPG,2501-3000 cc,İstanbul
#4411985,Mercedes,E Serisi,E 180 Edition E,2015,137.000,425.000 TL,15/02/2021,425.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Gaziantep
#3400690,Mercedes,E Serisi,E 250 CDI Elite,2013,187.000,456.000 TL,15/02/2021,456.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#749766,Mercedes,E Serisi,E 220 d AMG,2016,64.900,750.000 TL,15/02/2021,750.000 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,İzmir
#4014807,Mercedes,E Serisi,E 180 Edition E,2015,110.000,415.000 TL,15/02/2021,415.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4167675,Mercedes,E Serisi,E 200 Komp. Avantgarde,2005,291.000,187.019 TL,15/02/2021,187.019 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,İstanbul
#3686001,Mercedes,E Serisi,E 180 Elite,2014,107.000,372.750 TL,15/02/2021,372.750 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4508892,Mercedes,E Serisi,E 220 CDI Avantgarde,2008,230.000,231.750 TL,15/02/2021,231.750 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Kocaeli
#2414109,Mercedes,E Serisi,E 200 CGI AMG,2010,165.000,308.950 TL,15/02/2021,308.950 TL,Marka:,Otomatik Vites,Benzin,1601-1800 cc,İstanbul
#3226269,Mercedes,E Serisi,E 250 CGI AMG,2011,113.000,309.950 TL,15/02/2021,309.950 TL,Marka:,Yarı Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#1450995,Mercedes,E Serisi,E 180 Elite,2014,97.000,460.000 TL,15/02/2021,460.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4004835,Mercedes,E Serisi,E 200 CGI AMG,2010,184.000,285.000 TL,15/02/2021,285.000 TL,Marka:,Otomatik Vites,Benzin,1601-1800 cc,Kilis
#440762,Mercedes,E Serisi,E 220 d AMG,2020,10,1.380.000 TL,15/02/2021,1.380.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#1768905,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2016,98.898,545.000 TL,15/02/2021,545.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#999751,Mercedes,E Serisi,E 350 CDI BlueEfficiency Elegance,2011,173.000,395.000 TL,15/02/2021,395.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2501-3000 cc,İstanbul
#2673129,Mercedes,E Serisi,E 300 BlueTEC Hybrid,2020,224,1.475.000 TL,15/02/2021,1.475.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#2703516,Mercedes,E Serisi,E 300 BlueTEC Hybrid,2020,2.850,1.450.000 TL,15/02/2021,1.450.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#4064768,Mercedes,E Serisi,E 250 CGI Premium,2011,157.237,293.500 TL,15/02/2021,293.500 TL,Marka:,Otomatik Vites,Benzin,1601-1800 cc,İstanbul
#225048,Mercedes,E Serisi,E 300 CGI AMG,2018,3.741,1.315.000 TL,15/02/2021,1.315.000 TL,Marka:,Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#4092680,Mercedes,E Serisi,E 180 AMG,2018,32.900,760.000 TL,15/02/2021,760.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ankara
#530308,Mercedes,E Serisi,E 180 Elite,2016,93.500,449.000 TL,09/02/2021,449.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#3331132,Mercedes,E Serisi,E 300 AMG,2020,1.700,1.455.000 TL,08/02/2021,1.455.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,Bursa
#2124430,Mercedes,E Serisi,E 180 Edition E,2015,48.180,496.000 TL,08/02/2021,496.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#3058914,Mercedes,E Serisi,E 180 Elite,2013,232.000,359.000 TL,08/02/2021,359.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Van
#2510313,Mercedes,E Serisi,E 220 d AMG,2016,66.300,749.000 TL,05/02/2021,749.000 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#3090310,Mercedes,E Serisi,E 180 Exclusive,2018,22.289,625.000 TL,05/02/2021,625.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#3278006,Mercedes,E Serisi,E 220 d AMG,2017,81.000,825.000 TL,05/02/2021,825.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,İzmir
#2056048,Mercedes,E Serisi,E 180 Exclusive,2018,59.000,620.000 TL,05/02/2021,620.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Yalova
#1322308,Mercedes,E Serisi,E 180 Elite,2014,117.000,400.000 TL,05/02/2021,400.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İzmir
#4668664,Mercedes,E Serisi,E 220 d Exclusive,2016,84.000,729.000 TL,05/02/2021,729.000 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,Uşak
#1356212,Mercedes,E Serisi,E 200 200,1994,358.000,88.000 TL,05/02/2021,88.000 TL,Marka:,Düz Vites,Benzin/LPG,1300 cc ve altı,İstanbul
#255596,Mercedes,E Serisi,E 200 Elegance,1998,361.000,86.500 TL,05/02/2021,86.500 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Ankara
#2877850,Mercedes,E Serisi,E 180 Elite,2013,143.000,382.000 TL,05/02/2021,382.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Tekirdağ
#2722786,Mercedes,E Serisi,E 180 Exclusive,2018,39.000,825.000 TL,05/02/2021,825.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ankara
#4547963,Mercedes,E Serisi,E 180 Premium,2014,102.854,417.500 TL,05/02/2021,417.500 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İzmir
#1628413,Mercedes,E Serisi,E 180 AMG Premium,2015,24.000,589.000 TL,05/02/2021,589.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Kilis
#2899087,Mercedes,E Serisi,E 180 Edition E,2016,44.000,515.000 TL,05/02/2021,515.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Kilis
#3751088,Mercedes,E Serisi,E 220 d Exclusive,2016,110.000,645.000 TL,05/02/2021,645.000 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#1671277,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2015,97.000,535.900 TL,05/02/2021,535.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#557980,Mercedes,E Serisi,E 180 Elite,2014,165.000,314.750 TL,05/02/2021,314.750 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Diyarbakır
#3571400,Mercedes,E Serisi,E 200 Komp. Avantgarde,2004,340.000,198.500 TL,05/02/2021,198.500 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,Ankara
#3646960,Mercedes,E Serisi,E 320 Avantgarde,2002,325.000,185.000 TL,05/02/2021,185.000 TL,Marka:,Otomatik Vites,Benzin,3001-3500 cc,Ordu
#2597119,Mercedes,E Serisi,E 250 Elite,2014,177.000,413.000 TL,05/02/2021,413.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Kayseri
#3629161,Mercedes,E Serisi,E 250 Elite,2013,107.000,530.000 TL,05/02/2021,530.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Manisa
#449857,Mercedes,E Serisi,E 200 Elegance,1996,380.000,92.500 TL,05/02/2021,92.500 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Ankara
#449857,Mercedes,E Serisi,E 200 Elegance,1996,380.000,92.500 TL,05/02/2021,92.500 TL,Marka:,Otomatik Vites,Benzin/LPG,1801-2000 cc,Ankara
#4019097,Mercedes,E Serisi,Diğer,2016,137.000,439.900 TL,05/02/2021,439.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Giresun
#1106368,Mercedes,E Serisi,E 350 CDI BlueEfficiency Elegance,2010,235.000,400.000 TL,05/02/2021,400.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2501-3000 cc,Nevşehir
#690132,Mercedes,E Serisi,E 250 CGI AMG,2013,102.000,425.000 TL,05/02/2021,425.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#1999916,Mercedes,E Serisi,E 200 Komp. Avantgarde,2005,198.000,234.000 TL,05/02/2021,234.000 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1601-1800 cc,İstanbul
#1411441,Mercedes,E Serisi,E 180 Exclusive,2017,43.000,622.500 TL,05/02/2021,622.500 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#466545,Mercedes,E Serisi,E 180 Avantgarde,2017,72.000,559.000 TL,05/02/2021,559.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4142837,Mercedes,E Serisi,E 250 CDI Edition,2015,167.000,545.000 TL,05/02/2021,545.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#2571859,Mercedes,E Serisi,E 180 Edition E,2015,55.000,472.000 TL,05/02/2021,472.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2438193,Mercedes,E Serisi,E 180 AMG,2018,30.000,655.000 TL,05/02/2021,655.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#340445,Mercedes,E Serisi,E 220 d Avantgarde,2020,15,1.105.000 TL,05/02/2021,1.105.000 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,İstanbul
#4641759,Mercedes,E Serisi,E 200 AMG,2016,62.459,725.000 TL,05/02/2021,725.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#4248118,Mercedes,E Serisi,E 300 AMG,2020,12,1.475.000 TL,05/02/2021,1.475.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#2937093,Mercedes,E Serisi,E 320 Avantgarde,2004,253.217,225.000 TL,05/02/2021,225.000 TL,Marka:,Otomatik Vites,Benzin/LPG,3001-3500 cc,İstanbul
#3216159,Mercedes,E Serisi,E 320 CDI Avantgarde,2001,200.000,134.900 TL,05/02/2021,134.900 TL,Marka:,Yarı Otomatik Vites,Dizel,3001-3500 cc,Kilis
#2261094,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2013,60.845,478.000 TL,24/01/2021,478.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#2077809,Mercedes,E Serisi,E 320 Elegance,1996,230.000,82.500 TL,24/01/2021,82.500 TL,Marka:,Otomatik Vites,Benzin/LPG,3001-3500 cc,Gaziantep
İlan Tarihi:,Model:,Varyant:,Model Yılı:,Kilometre:,Yakıt Türü:,995.000 TL,Marka:,995.000 TL,Mercedes,Motor Hacmi:,Vites Tipi:,Motor Gücü:,İlan No:
#1445750,Mercedes,E Serisi,E 180 Avantgarde,2017,50.000,574.900 TL,24/01/2021,574.900 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ankara
#203188,Mercedes,E Serisi,E 200 CGI BlueEfficiency Avantgarde,2011,198.000,278.000 TL,24/01/2021,278.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#3019458,Mercedes,E Serisi,E 220 d Exclusive,2016,89.909,745.000 TL,24/01/2021,745.000 TL,Marka:,Yarı Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#1430879,Mercedes,E Serisi,E 200 CGI AMG,2011,132.000,352.900 TL,24/01/2021,352.900 TL,Marka:,Yarı Otomatik Vites,Benzin/LPG,1300 cc ve altı,İstanbul
#3365549,Mercedes,E Serisi,E 220 CDI Avantgarde,2007,412.000,189.999 TL,24/01/2021,189.999 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#2828728,Mercedes,E Serisi,E 180 Elite,2013,93.000,405.000 TL,24/01/2021,405.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Denizli
#2158989,Mercedes,E Serisi,E 220 CDI Avantgarde,2006,335.000,230.000 TL,24/01/2021,230.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Adıyaman
#1392875,Mercedes,E Serisi,E 180 Exclusive,2018,16.000,686.000 TL,24/01/2021,686.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1500003,Mercedes,E Serisi,E 250 CDI Edition,2016,125.000,705.000 TL,24/01/2021,705.000 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,Ankara
#3597138,Mercedes,E Serisi,E 280 CDI Avantgarde,2008,212.000,335.000 TL,24/01/2021,335.000 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,Konya
#917791,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2015,80.000,504.950 TL,24/01/2021,504.950 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#3384801,Mercedes,E Serisi,Diğer,1996,197.000,94.750 TL,24/01/2021,94.750 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,İstanbul
#2040193,Mercedes,E Serisi,E 180 Exclusive,2017,127.000,619.000 TL,24/01/2021,619.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Gaziantep
#4684029,Mercedes,E Serisi,E 180 Exclusive,2018,56.000,685.000 TL,24/01/2021,685.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Gaziantep
#3464446,Mercedes,E Serisi,E 200 AMG,2016,72.000,689.500 TL,24/01/2021,689.500 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Gaziantep
#3775892,Mercedes,E Serisi,E 250 CDI Elite Avantgarde,2012,177.000,429.900 TL,24/01/2021,429.900 TL,Marka:,Otomatik Vites,Dizel,2001-2500 cc,Hatay
#4445128,Mercedes,E Serisi,E 200 AMG,2016,62.000,613.000 TL,24/01/2021,613.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,Gaziantep
#4781951,Mercedes,E Serisi,E 220 d Avantgarde,2017,184.000,715.000 TL,24/01/2021,715.000 TL,Marka:,Otomatik Vites,Dizel,1801-2000 cc,İstanbul
#2514556,Mercedes,E Serisi,E 180 Elite,2014,220.000,356.950 TL,24/01/2021,356.950 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#511133,Mercedes,E Serisi,Diğer,2016,107.000,443.900 TL,24/01/2021,443.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#855231,Mercedes,E Serisi,E 180 Elite,2015,51.000,489.900 TL,24/01/2021,489.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1151862,Mercedes,E Serisi,E 180 AMG,2017,91.942,563.500 TL,24/01/2021,563.500 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1190253,Mercedes,E Serisi,E 220 Classic,1995,318.405,192.500 TL,24/01/2021,192.500 TL,Marka:,Otomatik Vites,Benzin/LPG,1300 cc ve altı,İstanbul
#1201587,Mercedes,E Serisi,E 350 CDI BlueEfficiency Elegance,2011,173.000,399.500 TL,24/01/2021,399.500 TL,Marka:,Yarı Otomatik Vites,Dizel,2501-3000 cc,İstanbul
#3688116,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2016,98.898,545.000 TL,24/01/2021,545.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#3202318,Mercedes,E Serisi,E 180 Exclusive,2017,10.480,699.000 TL,24/01/2021,699.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4101418,Mercedes,E Serisi,E 300 AMG,2017,32.162,995.000 TL,24/01/2021,995.000 TL,Marka:,Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#4769155,Mercedes,E Serisi,E 300 BlueTEC Hybrid,2020,2.850,1.450.000 TL,24/01/2021,1.450.000 TL,Marka:,Otomatik Vites,Benzin,1300 cc ve altı,İstanbul
#920893,Mercedes,E Serisi,E 300 CGI AMG,2018,3.741,1.315.000 TL,24/01/2021,1.315.000 TL,Marka:,Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#2089005,Mercedes,E Serisi,E 220 CDI Avantgarde,2011,83.149,450.000 TL,24/01/2021,450.000 TL,Marka:,Otomatik Vites,Dizel,1300 cc ve altı,İstanbul
#752206,Mercedes,E Serisi,E 180 Exclusive,2018,47.451,688.000 TL,24/01/2021,688.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#752206,Mercedes,E Serisi,E 180 Exclusive,2018,47.451,688.000 TL,24/01/2021,688.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#2398436,Mercedes,E Serisi,E 180 AMG,2018,37.422,698.000 TL,24/01/2021,698.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#4281994,Mercedes,E Serisi,E 180 Avantgarde,2018,40.000,609.500 TL,24/01/2021,609.500 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#439121,Mercedes,E Serisi,E 180 AMG Premium,2015,98.000,535.000 TL,24/01/2021,535.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ordu
#3674561,Mercedes,E Serisi,E 200 Komp. Avantgarde,2003,60.443,240.000 TL,24/01/2021,240.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1601-1800 cc,İstanbul
#1063272,Mercedes,E Serisi,E 180 Exclusive,2017,104.000,625.000 TL,24/01/2021,625.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,İstanbul
#1266059,Mercedes,E Serisi,E 180 AMG Premium,2015,153.000,470.000 TL,24/01/2021,470.000 TL,Marka:,Otomatik Vites,Benzin,1301-1600 cc,Ankara
#3751843,Mercedes,E Serisi,E 250 D Classic,1987,590.000,62.500 TL,13/01/2021,62.500 TL,Marka:,Düz Vites,Dizel,1300 cc ve altı,Malatya
#3683514,Mercedes,E Serisi,E 250 CDI Edition,2015,120.000,539.900 TL,11/01/2021,539.900 TL,Marka:,Yarı Otomatik Vites,Dizel,2001-2500 cc,İstanbul
#1003358,Mercedes,E Serisi,E 250 AMG 7G-Tronic,2015,74.000,525.900 TL,11/01/2021,525.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1801-2000 cc,İstanbul
#706074,Mercedes,E Serisi,E 180 Edition E,2015,125.000,473.000 TL,06/01/2021,473.000 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,Kilis
#3095235,Mercedes,E Serisi,E 180 Edition E,2015,132.000,445.900 TL,06/01/2021,445.900 TL,Marka:,Yarı Otomatik Vites,Benzin,1301-1600 cc,İstanbul
