adver_number,brand,class_,variant_,km,engine_capacity_cc,fuel,gear,adver_date,year,city,price_tl,variant,title,city_
#3737899,Mercedes,E-Class,E 250,239000,2001-2500 cc,Diesel,Automatic,05/02/2021,2011,Istanbul,325000,E 250 CDI AMG,METSAN OTOMOTİV DEN 2011 MODEL MERCEDES BENZ E 250 CDİ COUPE Mercedes - Benz E Serisi E 250 CDI AMG,Istanbul
#4675309,Mercedes,E-Class,E 220,110000,1801-2000 cc,Diesel,Semi-Automatic,05/02/2021,2016,Istanbul,659500,E 220 d Exclusive,2016 MODEL MERCEDES E 220 d EXCLUSİVE HATASIZ 110.000 KM DE Mercedes - Benz E Serisi E 220 d Exclusive,Istanbul
#3216159,Mercedes,E-Class,E 300,200000,3001-3500 cc,Diesel,Semi-Automatic,05/02/2021,2001,Other,134900,E 320 CDI Avantgarde,ŞAHBAZ AUTO 2001 MERCEDES BENZ E 320 CDI AVANTGARDE Mercedes - Benz E Serisi E 320 CDI Avantgarde,Kocaeli
#2937093,Mercedes,E-Class,E 300,253000,3001-3500 cc,Petrol,Automatic,05/02/2021,2004,Other,225000,E 320 Avantgarde,ORJİNAL 253.217 KM-2004 E 320 BENZİN OTM.LPG İŞLİ-FULL FULL Mercedes - Benz E Serisi E 320 Avantgarde,Ankara
#3923635,Mercedes,E-Class,E 220,251000,1300 cc and lower,Diesel,Automatic,24/01/2021,1996,Other,117900,E 220 CDI Classic,EMSALSİZ SUNROOF OTOMATİK VİTES WEBASTOLU BAKIMLARI TAM Mercedes - Benz E Serisi E 220 CDI Classic,Kilis
#841855,Mercedes,E-Class,E 180,98000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2014,Istanbul,387000,E 180 Elite,AKDENİZ AUTO 2014 MERCEDES E180 ELİTE LED XENON ISITMA CAM.TAVAN Mercedes - Benz E Serisi E 180 Elite,Istanbul
#1478898,Mercedes,E-Class,E 200,362000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2001,Other,158000,E 200 Komp. Avantgarde,MERCEDES - AVANGARDE KOMPROSÖR OTOMATİK VİTES Mercedes - Benz E Serisi E 200 Komp. Avantgarde,Ankara
#2487087,Mercedes,E-Class,E 200,321000,1801-2000 cc,Petrol,Manual,24/01/2021,1995,Istanbul,79950,E 200 200,PIRLANTA DAN 1995 MODEL MERCEDES E 200 KOMPRESSOR BENZİN LPG Mercedes - Benz E Serisi E 200 200,Istanbul
#402269,Mercedes,E-Class,E 200,109000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2016,Other,819950,E 200 AMG,PIRLANTA DAN 2016 MODEL MERCEDES BENZ E200 AMG 9G-TRONİC COMMAD Mercedes - Benz E Serisi E 200 AMG,Denizli
#4439647,Mercedes,E-Class,E 350,169000,1300 cc and lower,Diesel,Automatic,24/01/2021,2011,Other,499900,E 350 CDI Premium,TR DE-TEK DİZEL 4-MATİC E-35O CDİ PREMİUM BEJ-DERİ PANAROMİC FUL Mercedes - Benz E Serisi E 350 CDI Premium,Kilis
#1153826,Mercedes,E-Class,E 220,73000,1801-2000 cc,Diesel,Automatic,24/01/2021,2017,Other,875650,E 220 d Avantgarde,BİZ HERKESİ ARABA SAHİBİ YAPIYORUZ ANINDA KREDİ SENETLİ SATIŞ Mercedes - Benz E Serisi E 220 d Avantgarde,Kilis
#2273958,Mercedes,E-Class,E 220,40000,1801-2000 cc,Diesel,Automatic,24/01/2021,2017,Other,910000,E 220 d AMG,BERR MOTORS TAN BAYİ HATASIZ TAM DOLU 2017 E 220 D 4 MATİC AMG Mercedes - Benz E Serisi E 220 d AMG,Adana
#199194,Mercedes,E-Class,E 220,312000,2001-2500 cc,Diesel,Semi-Automatic,24/01/2021,2007,Istanbul,225000,E 220 CDI Avantgarde,2007 MERCEDES E220 CDI AVANGARDE CAM TAVAN OTOMATİK VİTES Mercedes - Benz E Serisi E 220 CDI Avantgarde,Istanbul
#1030547,Mercedes,E-Class,E 200,287000,1601-1800 cc,Petrol,Semi-Automatic,24/01/2021,2004,Istanbul,230000,E 200 Komp. Avantgarde,Özsağlam dan 2004 Mercedes E200 Avantgarde 287binde Boyasız Mercedes - Benz E Serisi E 200 Komp. Avantgarde,Istanbul
#4216485,Mercedes,E-Class,E 300,104000,1801-2000 cc,Petrol,Automatic,24/01/2021,2017,Other,895000,E 300 AMG,2017 MERCEDES E 300 AMG 9G-TRONIC HATASIZ BOYASIZ TRAMERSİZ Mercedes - Benz E Serisi E 300 AMG,Kilis
#3404579,Mercedes,E-Class,E 180,96000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2015,Other,474000,E 180 Edition E,EROĞLU 2015 MERCEDES E180 EXCLUSIVE EdıtıonE EĞLENCE PAKETLİ Mercedes - Benz E Serisi E 180 Edition E,Konya
#1733076,Mercedes,E-Class,E 250,184000,2001-2500 cc,Diesel,Semi-Automatic,24/01/2021,2015,Istanbul,555000,E 250 CDI Edition,EROĞLU 2015 MERCEDES E250CDI EdıtıonE FUL HAFIZA PERDE KAMERA Mercedes - Benz E Serisi E 250 CDI Edition,Istanbul
#4684270,Mercedes,E-Class,E 250,168000,1601-1800 cc,Petrol,Automatic,24/01/2021,2012,Other,318500,E 250 CGI AMG,EFE OTO 2012 MERCEDES E 250 CGİ AMG 7G-TRONIC 168 BİN KM BAYİİ Mercedes - Benz E Serisi E 250 CGI AMG,Adana
#3043101,Mercedes,E-Class,E 200,230000,1601-1800 cc,Petrol,Semi-Automatic,24/01/2021,2003,Other,217000,E 200 Komp. Avantgarde,ÖZGÜVEN OTOMOTİVDEN 2003 E200 OTOMATIK ILK GUNKU TEMIZLIKTE Mercedes - Benz E Serisi E 200 Komp. Avantgarde,Adana
#3276129,Mercedes,E-Class,E 250,500000,1300 cc and lower,Diesel,Manual,24/01/2021,1986,Other,48000,E 250 D 250 D,250 D. DEGERİNİ bilene TÜM BAKIMLARI YENİ Mercedes - Benz E Serisi E 250 D 250 D,Çorum
#2386508,Mercedes,E-Class,E 180,193000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2013,Other,366950,E 180 Elite,KELEBEK den 2013 E180 193.000KM CAM TVN-DERİ-ISITMA-MAUN-XENON Mercedes - Benz E Serisi E 180 Elite,Kocaeli
#4781951,Mercedes,E-Class,E 220,184000,1801-2000 cc,Diesel,Automatic,24/01/2021,2017,Istanbul,715000,E 220 d Avantgarde,MART MOTORS DAN 18 FATURALI E220 DİZEL 4 MATİC SERVİS BAKIMLI Mercedes - Benz E Serisi E 220 d Avantgarde,Istanbul
#4445128,Mercedes,E-Class,E 200,62000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2016,Istanbul,613000,E 200 AMG,TAKAS OLUR-62.000 KM 245HP BURMESTER CAMTVN DİSTRONİC Mercedes - Benz E Serisi E 200 AMG,Istanbul
#3775892,Mercedes,E-Class,E 250,177000,2001-2500 cc,Diesel,Automatic,24/01/2021,2012,Istanbul,429900,E 250 CDI Elite Avantgarde,BOYASIZ HATASIZ ELİTE E 250 CDI 4MATIC 177.000 KM DE Mercedes - Benz E Serisi E 250 CDI Elite Avantgarde,Istanbul
#3464446,Mercedes,E-Class,E 200,72000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2016,Other,689500,E 200 AMG,2016 MERCEDES E200AMG COMMAND CAMTVN VAKUM HAFIZA 5BÖLGE BOYASIZ Mercedes - Benz E Serisi E 200 AMG,Gaziantep
#4684029,Mercedes,E-Class,E 180,56000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Other,685000,E 180 Exclusive,2018 E180 EXCLUSİVE COMMAND CAMTAVAN NAVİ İÇİFINDIK BOYASIZ Mercedes - Benz E Serisi E 180 Exclusive,Hatay
#2040193,Mercedes,E-Class,E 180,127000,1301-1600 cc,Petrol,Automatic,24/01/2021,2017,Other,619000,E 180 Exclusive,MARKA AUTO DAN 2017 E180 EXCLUSİVE COMMAND NAVİGASYON BOYASIZ Mercedes - Benz E Serisi E 180 Exclusive,Gaziantep
#3384801,Mercedes,E-Class,Other,197000,1300 cc and lower,Diesel,Automatic,24/01/2021,1996,Other,94750,Other,ONS MOTORS DAN 1996 MERCEDES E 220 D ELEGANCE 197 BİN KMDE Mercedes - Benz E Serisi E 220 d Elegance,Gaziantep
#917791,Mercedes,E-Class,E 250,80000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2015,Other,504950,E 250 AMG 7G-Tronic,2015 E 250 AMG 80 BİN SAĞ SOL HAFZA SUNROF BI-XEN ISITMA BOYASIZ Mercedes - Benz E Serisi E 250 AMG 7G-Tronic,Gaziantep
#3597138,Mercedes,E-Class,E 250,212000,1300 cc and lower,Diesel,Automatic,24/01/2021,2008,Istanbul,335000,E 280 CDI Avantgarde,2008 MODEL E 280 CDİ AVANTGARDE 212.000km Mercedes - Benz E Serisi E 280 CDI Avantgarde,Istanbul
#1500003,Mercedes,E-Class,E 250,125000,2001-2500 cc,Diesel,Semi-Automatic,24/01/2021,2016,Istanbul,705000,E 250 CDI Edition,A.HAMİYET OTOMOTİV DEN E250CDI 4MATIC HATASIZ BOYASIZ ÖZEL PLAKA Mercedes - Benz E Serisi E 250 CDI Edition,Istanbul
#1392875,Mercedes,E-Class,E 180,16000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Other,686000,E 180 Exclusive,16000KM VAKUM GARANTİLİ FINDIK DÖŞEME 19 JANT Mercedes - Benz E Serisi E 180 Exclusive,Konya
#2158989,Mercedes,E-Class,E 220,335000,2001-2500 cc,Diesel,Semi-Automatic,24/01/2021,2006,Other,230000,E 220 CDI Avantgarde,2006 BAYİ MERCEDES E220 CDI AVANTGARDE OTOMATİK HAFIZA CAM TAVAN Mercedes - Benz E Serisi E 220 CDI Avantgarde,Ankara
#2828728,Mercedes,E-Class,E 180,93000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2013,Istanbul,405000,E 180 Elite,2013 E 180 ELİTE HATASIZ 93.000 Km de Mercedes - Benz E Serisi E 180 Elite,Istanbul
#3365549,Mercedes,E-Class,E 220,412000,2001-2500 cc,Diesel,Semi-Automatic,24/01/2021,2007,Other,189999,E 220 CDI Avantgarde,2007 MODEL MERCEDES E220 CDI AVANGARD 170HP DEĞİŞENSİZ CAM TAVAN Mercedes - Benz E Serisi E 220 CDI Avantgarde,Adıyaman
#1430879,Mercedes,E-Class,E 200,132000,1300 cc and lower,Petrol,Semi-Automatic,24/01/2021,2011,Other,352900,E 200 CGI AMG,ESÇELİK TEN EMSALSİZ ORJİNAL E 200 AMG Mercedes - Benz E Serisi E 200 CGI AMG,Denizli
#4356409,Mercedes,E-Class,E 180,29000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Istanbul,714500,E 180 Exclusive,BAYİ 2018 E180 EXCLUSIVE 9G-TRONIC COMAND HAYALET HAFIZA HATASIZ Mercedes - Benz E Serisi E 180 Exclusive,Istanbul
#1117606,Mercedes,E-Class,E 180,83000,1301-1600 cc,Petrol,Automatic,24/01/2021,2016,Istanbul,553000,E 180 AMG,E180 AMG CAM TVN NAVİGASYON 83.000KM HATASIZ ÇİFT HAREKET HAFIZA Mercedes - Benz E Serisi E 180 AMG,Istanbul
#1263097,Mercedes,E-Class,E 250,100000,2001-2500 cc,Diesel,Semi-Automatic,24/01/2021,2015,Istanbul,597500,E 250 CDI Edition,Yücel Grup Otomotivden E250 CDI 4 Matic Mercedes - Benz E Serisi E 250 CDI Edition,Istanbul
#1848089,Mercedes,E-Class,E 200,99000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2016,Other,599000,E 200 Exclusive,YALI OTOMOTİV HATASIZ E200 COMMAND HAYALET CAM TAVAN SERVİSBAKIM Mercedes - Benz E Serisi E 200 Exclusive,Kilis
#335502,Mercedes,E-Class,E 180,156000,1301-1600 cc,Petrol,Semi-Automatic,24/01/2021,2014,Other,389000,E 180 Premium,YALI OTOMOTİV 2014 BOYASIZ TRAMERSİZ HAFIZA KEYLESS CAM TAVAN Mercedes - Benz E Serisi E 180 Premium,Ankara
#4100855,Mercedes,E-Class,E 200,165000,1601-1800 cc,Petrol,Automatic,24/01/2021,2010,Other,318950,E 200 CGI AMG,CİVAN 2010 MERCEDES-BENZ E200 AMG BOYASIZ-M.PERDE-SUNROOF-18 - Mercedes - Benz E Serisi E 200 CGI AMG,Denizli
#4641065,Mercedes,E-Class,E 200,441000,1801-2000 cc,Petrol,Manual,24/01/2021,1993,Other,92000,E 200 200,ULUBEY den 93 E200 KOMPRESSOR MOTOR SWAP YAZILIMLI 239 BEYGİR Mercedes - Benz E Serisi E 200 200,Denizli
